"filename", "language", "C++", "Markdown", "YAML", "JSON", "HTML", "Swift", "XML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\crud.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 23, 89
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\delete_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 30, 124
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\insert_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 37, 169
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\rename_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 15, 81
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_query\retrieve_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 24, 104
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\count_directory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\create_directory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 11, 33
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\delete_directory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 12, 41
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\directory_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 36, 130
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\rename_directory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 12, 41
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\directory_query\save_directory.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 35, 123
